102	228	7	32.85
279	9	4	32.34
160	319	6	67.6
129	111	3	4.97
237	171	3	24.47
213	14	4	7.49
157	106	5	17.15
130	113	5	14.63
140	119	3	8.37
373	12	6	27.71
139	102	5	5.89
197	12	5	7.66
105	155	8	33.86
85	138	5	18.43
186	179	7	68.26
108	105	6	4.73
281	101	3	9.95
128	112	5	14.02
203	57	3	13.13
237	14	3	4.76
104	305	5	32.93
12	198	4	4.58
57	14	19	14.6
109	234	4	20.76
12	138	10	7.91
12	187	19	92.78
110	582	3	23.53
149	109	4	11.44
102	218	6	24.74
101	515	5	36.34
123	119	5	13.99
129	124	4	13.2
118	422	3	22
101	244	5	19.44
238	116	5	32.18
155	12	10	15.85
106	286	3	15.21
116	104	10	20.17
12	240	10	39.34
101	680	3	21.79
110	109	8	12.61
139	109	6	18.84
108	365	3	18.2
148	281	4	34.89
145	124	3	10.1
145	136	3	12.28
500	12	3	10.18
416	14	3	10.2
120	141	3	9.05
109	472	3	21.28
12	152	6	3.87
12	201	4	4.58
83	9	3	16.32
105	197	3	10.66
114	119	3	4.02
169	101	7	19.52
102	149	4	4.96
12	111	32	32.23
106	12	20	4.03
106	167	3	8.16
131	108	3	4.52
101	609	3	17.35
171	111	3	9.4
137	14	10	11.64
8	59	7	23.57
117	584	3	25.8
142	113	3	7.34
85	124	4	10.05
162	14	7	10.62
143	128	11	72.4
12	129	28	68.93
196	111	3	12.13
127	102	10	18.52
119	301	3	19.68
104	101	51	132.92
12	136	9	5.62
161	136	3	14.29
106	182	3	9.89
112	170	4	15.96
201	120	3	15.08
101	553	3	17.35
477	106	3	20.59
85	274	3	18.5
105	495	3	20.19
129	593	3	29.41
165	116	3	10.6
102	190	6	20.75
126	110	5	10.61
113	140	3	6.93
149	132	8	50.69
735	353	3	48.93
178	113	12	84.17
103	163	5	13.65
341	14	4	13.61
85	111	5	9.05
12	647	3	12.29
102	349	3	12.86
276	120	3	18.68
182	108	3	10.27
166	109	3	8.79
105	511	3	20.19
140	102	8	16.04
116	135	3	6.97
120	113	3	3.89
12	287	4	9.52
155	14	12	28.82
314	279	3	35.69
113	138	4	10.73
114	164	4	16.34
367	113	5	40.82
190	12	5	7.2
103	102	15	5.17
12	497	3	10.18
110	158	7	30.58
226	14	4	7.99
105	642	3	22.4
272	12	3	4.79
12	153	7	6.02
109	292	3	16.63
123	102	19	51.2
114	132	5	15.68
117	106	16	53.57
186	148	3	19.04
165	144	3	16.15
371	120	3	21.96
101	282	3	9.95
197	14	8	23.86
8	83	3	16.05
343	481	3	42.2
129	154	3	13.31
120	167	3	12.06
103	161	3	5.06
116	108	10	25
112	114	7	16.1
110	368	3	18.52
161	128	3	13.56
205	112	3	13.33
105	493	3	20.19
148	347	5	52.16
282	14	4	11.43
1	57	5	20.07
129	113	4	9.81
196	101	3	6.07
142	112	4	11.79
102	230	3	8.22
166	102	15	69.34
108	210	3	12.11
57	12	17	5.61
140	109	4	9.61
116	193	4	20.41
104	558	3	21.57
348	487	4	61.12
